"","value","param","species"
"168",5.93705304572359,"theta","dichotomius_satanas"
"169",5.87606516689993,"theta","dichotomius_satanas"
"170",4.8338861160446,"theta","dichotomius_satanas"
"171",5.9545676051639,"theta","dichotomius_satanas"
"172",5.19882915681228,"theta","dichotomius_satanas"
"173",4.57697530416772,"theta","dichotomius_satanas"
"174",4.96130136912689,"theta","dichotomius_satanas"
"175",5.53929383424111,"theta","dichotomius_satanas"
"176",5.89790867781267,"theta","dichotomius_satanas"
"177",5.61807750049047,"theta","dichotomius_satanas"
"178",5.02568737161346,"theta","dichotomius_satanas"
"179",5.51003125985153,"theta","dichotomius_satanas"
"180",4.27090584556572,"theta","dichotomius_satanas"
"181",5.77422321098857,"theta","dichotomius_satanas"
"182",5.44762446801178,"theta","dichotomius_satanas"
"183",5.65446206275374,"theta","dichotomius_satanas"
"184",5.76393446908332,"theta","dichotomius_satanas"
"185",5.32312402524985,"theta","dichotomius_satanas"
"186",5.83713460969739,"theta","dichotomius_satanas"
"187",5.92651125881821,"theta","dichotomius_satanas"
"188",5.76723358617164,"theta","dichotomius_satanas"
"189",5.21399058075622,"theta","dichotomius_satanas"
"190",5.63158906903118,"theta","dichotomius_satanas"
"191",5.1986072959844,"theta","dichotomius_satanas"
"192",5.49615455465391,"theta","dichotomius_satanas"
"193",4.41440538875759,"theta","dichotomius_satanas"
"194",5.8755856056232,"theta","dichotomius_satanas"
"195",5.11475009284914,"theta","dichotomius_satanas"
"196",5.74860265036114,"theta","dichotomius_satanas"
"197",4.44439451931976,"theta","dichotomius_satanas"
"198",5.92920189979486,"theta","dichotomius_satanas"
"199",5.5279675826896,"theta","dichotomius_satanas"
"200",5.69050342799164,"theta","dichotomius_satanas"
"201",5.51358207152225,"theta","dichotomius_satanas"
"202",5.01827080640942,"theta","dichotomius_satanas"
"203",4.82102235802449,"theta","dichotomius_satanas"
"204",4.90499734436162,"theta","dichotomius_satanas"
"205",5.29104988812469,"theta","dichotomius_satanas"
"206",4.6915628425777,"theta","dichotomius_satanas"
"207",5.87801504321396,"theta","dichotomius_satanas"
"208",5.47225868236274,"theta","dichotomius_satanas"
"209",5.95630443096161,"theta","dichotomius_satanas"
"210",5.70117165124975,"theta","dichotomius_satanas"
"211",5.40617510001175,"theta","dichotomius_satanas"
"212",5.19901651446708,"theta","dichotomius_satanas"
"213",5.42952204844914,"theta","dichotomius_satanas"
"214",5.47325712768361,"theta","dichotomius_satanas"
"215",5.84068063204177,"theta","dichotomius_satanas"
"216",5.55039427615702,"theta","dichotomius_satanas"
"217",5.73371964413673,"theta","dichotomius_satanas"
"218",5.75478820386343,"theta","dichotomius_satanas"
"219",5.69404618022963,"theta","dichotomius_satanas"
"220",5.86483974731527,"theta","dichotomius_satanas"
"221",5.86694003688172,"theta","dichotomius_satanas"
"222",5.43445238401182,"theta","dichotomius_satanas"
"223",5.740162671078,"theta","dichotomius_satanas"
"224",5.46211898117326,"theta","dichotomius_satanas"
